Key,en,es,ar,fr
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord
Language,Language,Idioma,لغة,Langue
Information,Information,Información,معلومة,Information
Language Information,Language Information,Información de idioma,معلومات اللغة,Informations linguistiques
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langues
Idioma creado correctamente,Idioma creado correctamente,Idioma creado correctamente,لغة تم إنشاؤها بشكل صحيح,Idioma créé correctement
Join us in shaping the future of technology,Join us in shaping the future of technology,Únase a nosotros para dar forma al futuro de la tecnología,انضم إلينا في تشكيل مستقبل التكنولوجيا,Rejoignez-nous pour façonner l’avenir de la technologie
Enter your email:,Enter your email:,Introduce tu correo electrónico:,أدخل بريدك الإلكتروني:,Entrer votre Email:
DOWNLOAD APPS,DOWNLOAD APPS,DESCARGAR APLICACIONES,تنزيل التطبيقات,TÉLÉCHARGER DES APPLICATIONS
USEFULL LINKS,USEFULL LINKS,ENLACES ÚTILES,روابط مفيدة,LIENS UTILES
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité
Terms & Condition,Terms & Condition,Términos y Condiciones,الشروط والأحكام,Termes et conditions
Refund Policy,Refund Policy,Politica de reembolso,سياسة الاسترجاع,Politique de remboursement
CONTACT US,CONTACT US,CONTÁCTENOS,اتصل بنا,CONTACTEZ-NOUS
Copyright ©2023. All Rights Reserved by,Copyright ©2023. All Rights Reserved by,Derechos de autor ©2023. Todos los derechos reservados por,حقوق النشر ©2023. جميع الحقوق محفوظة بواسطة,Droits d'auteur ©2023. Tous droits réservés par
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale
Settings,Settings,Ajustes,إعدادات,Paramètres
English,English,Inglés,إنجليزي,Anglais
API Key,API Key,Clave API,مفتاح API,clé API
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux annulés
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux
Subscriptions,Subscriptions,Suscripciones,الاشتراكات,Abonnements
TRANSACTIONS & LOGS,TRANSACTIONS & LOGS,TRANSACCIONES Y REGISTROS,المعاملات والسجلات,TRANSACTIONS ET JOURNAUX
Setup Currency,Setup Currency,Moneda de configuración,عملة الإعداد,Devise de configuration
Panel,Panel,Panel,لوحة,Panneau
Transactions log,Transactions log,Registro de transacciones,سجل المعاملات,Journal des transactions
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux en attente
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Journaux terminés
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة,Panneau d'interface
User Care,User Care,Atención al usuario,رعاية المستخدم,Entretien utilisateur
Active Users,Active Users,Usuarios activos,المستخدمين النشطين,Utilisateurs actifs
App Version,App Version,Version de aplicacion,نسخة التطبيق,Version de l'application
Life is all about AI,Life is all about AI,La vida se trata de IA,الحياة تدور حول الذكاء الاصطناعي,La vie est avant tout une question d'IA
Join us in shaping the future ofS,Join us in shaping the future of,Únase a nosotros para dar forma al futuro de,انضم إلينا في تشكيل مستقبل,Rejoignez-nous pour façonner l'avenir de
TECHNOLOGY,TECHNOLOGY,TECNOLOGÍA,تكنولوجيا,TECHNOLOGIE
Sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور الخاصة بك وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse e-mail
Sign In with,Sign In with,Inicia sesión con,تسجيل الدخول ب,Se connecter avec
Continue as a guest,Continue as a guest,Continuar como invitado,استمر كضيف,Continuer en tant qu'invité
EN,EN,ES,إن,FR
or,or,o,أو,ou
Hours 24,24 Hours,24 horas,24 ساعة,24 heures
Please Enter Your Registered E-mail for Reset Password,Please Enter Your Registered E-mail for Reset Password,Ingrese su correo electrónico registrado para restablecer la contraseña,الرجاء إدخال البريد الإلكتروني المسجل لإعادة تعيين كلمة المرور,Veuillez saisir votre adresse e-mail enregistrée pour réinitialiser le mot de passe
Enter the OTP sent to,Enter the OTP sent to,Ingrese la OTP enviada a,أدخل كلمة المرور لمرة واحدة المرسلة إلى,Entrez l'OTP envoyé à
Resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز,Renvoyer le code
Submit,Submit,Entregar,يُقدِّم,Soumettre
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور,réinitialiser le mot de passe
Reset your password to sign in again.,Reset your password to sign in again.,Restablece tu contraseña para iniciar sesión nuevamente.,قم بإعادة تعيين كلمة المرور الخاصة بك لتسجيل الدخول مرة أخرى.,Réinitialisez votre mot de passe pour vous reconnecter.
